path,filename,width,height,resolution,codec,duration_sec,size_bytes,size_human,estimated_compressed,estimated_savings,savings_percent
/Volumes/Promise Pegasus/MyMovieWithVinny/171208GlennConroy/Glenn4K.MP4,Glenn4K.MP4,3840,2160,3840x2160,h264,8615.607,97475591039,90.78 GB,12184448879,85291142160,87.50000000089766
/Volumes/Promise Pegasus/MyMovieWithVinny/171208GlennConroy/171208GlennConroy.fcpbundle/12-12-17/Original Media/Glenn4K.mp4,Glenn4K.mp4,3840,2160,3840x2160,h264,8615.607,97475591039,90.78 GB,12184448879,85291142160,87.50000000089766
/Volumes/Promise Pegasus/PeirceGang/171215PeirceGangGlassyEssenceAndEvolutionaryLove/MikeJoeLeft.MP4,MikeJoeLeft.MP4,3840,2160,3840x2160,h264,7711.2035,82591074862,76.92 GB,10323884357,72267190505,87.50000000090809
/Volumes/Promise Pegasus/PeirceGang/171215PeirceGangGlassyEssenceAndEvolutionaryLove/171215PeirceGangGlassyEssenceAndEvolutionaryLove.fcpbundle/12-15-17/Original Media/MikeJoeLeft.mp4,MikeJoeLeft.mp4,3840,2160,3840x2160,h264,7711.2035,82591074862,76.92 GB,10323884357,72267190505,87.50000000090809
/Volumes/Promise Pegasus/PeirceGang/171201PeirceGangTrichotomyNecessityLawOfMindAndEvolution/Steve4K.MP4,Steve4K.MP4,3840,2160,3840x2160,h264,6822.3155,75578165402,70.39 GB,9447270675,66130894727,87.50000000033079
/Volumes/Promise Pegasus/PeirceGang/171201PeirceGangTrichotomyNecessityLawOfMindAndEvolution/171201PeirceGang.fcpbundle/12-1-17/Original Media/Steve4K.mp4,Steve4K.mp4,3840,2160,3840x2160,h264,6822.3155,75578165402,70.39 GB,9447270675,66130894727,87.50000000033079
/Volumes/Promise Pegasus/190205JeffreyAndPop/Jeff1.MP4,Jeff1.MP4,3840,2160,3840x2160,h264,11013.002,74362800580,69.26 GB,9295350072,65067450508,87.50000000067239
/Volumes/Promise Pegasus/MyMovieWithVinny/171018SantaBarbaraKjell/FireplaceCam.MP4,FireplaceCam.MP4,3840,2160,3840x2160,h264,10699.689,74260011835,69.16 GB,9282501479,64977510356,87.50000000050498
/Volumes/Promise Pegasus/MyMovieWithVinny/190227DavidSohmMemorial/190127DavidsMemorial.fcpbundle/171018SantaBarbaraKjell/Original Media/FireplaceCam.mp4,FireplaceCam.mp4,3840,2160,3840x2160,h264,10699.689,74260011835,69.16 GB,9282501479,64977510356,87.50000000050498
/Volumes/Promise Pegasus/MyMovieWithVinny/171209StephenGuerinSimTable/171209StephenGuerinMikeMacey/StephenMike.MP4,StephenMike.MP4,3840,2160,3840x2160,h264,6479.9735,73294497426,68.26 GB,9161812178,64132685248,87.50000000034109
/Volumes/Promise Pegasus/190205JeffreyAndPop/Pop1.MP4,Pop1.MP4,3840,2160,3840x2160,h264,11013.002,73046301034,68.03 GB,9130787629,63915513405,87.50000000034225
/Volumes/Promise Pegasus/MyMovieWithVinny/171018SantaBarbaraKjell/CounterCam.MP4,CounterCam.MP4,3840,2160,3840x2160,h264,10395.385,71888749842,66.95 GB,8986093730,62902656112,87.50000000034775
/Volumes/Promise Pegasus/MyMovieWithVinny/190227DavidSohmMemorial/190127DavidsMemorial.fcpbundle/171018SantaBarbaraKjell/Original Media/CounterCam.mp4,CounterCam.mp4,3840,2160,3840x2160,h264,10395.385,71888749842,66.95 GB,8986093730,62902656112,87.50000000034775
/Volumes/Promise Pegasus/MyMovieWithVinny/171026LamarWithArthurStewart/StageLeft.MP4,StageLeft.MP4,3840,2160,3840x2160,h264,9699.69,70626124047,65.78 GB,8828265505,61797858542,87.50000000123892
/Volumes/Promise Pegasus/201227JoeFergusonLifeStoryByJeff/Pop.MP4,Pop.MP4,3840,2160,3840x2160,h264,10056.5465,69209270447,64.46 GB,8651158805,60558111642,87.50000000126428
/Volumes/Promise Pegasus/201227JoeFergusonLifeStoryByJeff/Jeff.MP4,Jeff.MP4,3840,2160,3840x2160,h264,10005.4955,67393202850,62.76 GB,8424150356,58969052494,87.50000000037096
/Volumes/Promise Pegasus/MyMovieWithVinny/180117LewWatts/Lew.MP4,Lew.MP4,3840,2160,3840x2160,h264,9263.254,65292761193,60.81 GB,8161595149,57131166044,87.50000000019145
/Volumes/Promise Pegasus/MyMovieWithVinny/180117LewWatts/180117LewWatts.fcpbundle/1-17-18/Original Media/Lew.mp4,Lew.mp4,3840,2160,3840x2160,h264,9263.254,65292761193,60.81 GB,8161595149,57131166044,87.50000000019145
